"","date_from","articles","calendar","degree_of_centralization","foreign_coins","formal_legal_code","full_time_bureaucrats","history","indigenous_coins","irrigation_systems","markets","mnemonic_devices","paper_currency","polity_territory","population_of_the_largest_settlement","postal_stations","practical_literature","precious_metals","professional_priesthood","professional_soldiers","religious_levels","roads","sacred_texts","script","settlement_hierarchy","specialized_government_buildings","tokens","written_records"
"date_from",1,-0.115797116846683,-0.374266591578778,-0.520034753322298,-0.267410746365916,-0.167798221542123,-0.448762307011089,-0.574649814794999,-0.48966956907282,-0.549553665881986,-0.345034494349625,0.0206281171495137,0.572166105656912,0.275993319531606,-0.0590575171470307,-0.502235705852374,-0.574649814794999,-0.528799782800889,-0.455841085400585,-0.448762307011089,-0.161237300356668,-0.448762307011089,-0.285472415800218,-0.285472415800218,-0.501179236558281,-0.448762307011089,-0.393404878702203,-0.285472415800218
"articles",-0.115797116846683,1,-0.0978231976089037,-0.137552660599408,-0.0978231976089037,-0.0454545454545454,-0.0978231976089037,-0.126660099276225,-0.170940864689457,-0.112366643743874,-0.082572282384477,-0.0978231976089037,-0.404519917477945,-0.155523606174225,-0.30096435163997,-0.170940864689457,-0.126660099276225,-0.112366643743874,-0.0978231976089037,-0.0978231976089037,0.0882006199723549,-0.0978231976089037,-0.082572282384477,-0.082572282384477,-0.236817243463881,-0.0978231976089037,0.222680885707562,-0.082572282384477
"calendar",-0.374266591578778,-0.0978231976089037,1,0.358649918535242,0.697368421052632,0.464660188642293,0.697368421052632,0.772328445721233,0.572263383519301,0.592472270923176,0.844097150806707,0.0921052631578947,0.241825416703337,0.218351566432956,0.409449550172776,0.337226636716731,0.772328445721233,0.592472270923176,0.697368421052632,0.697368421052632,0.338651617063752,0.697368421052632,0.844097150806707,0.844097150806707,0.507056550099876,0.697368421052632,-0.209664804255604,0.844097150806707
"degree_of_centralization",-0.520034753322298,-0.137552660599408,0.358649918535242,1,0.0967785494460177,0.105809738922621,0.620521287624466,0.633908547318438,0.601299190287596,0.742855037679641,0.486939438144377,-0.165092819643207,-0.141247084629227,0.330808243581742,0.557123696592927,0.804679798767225,0.633908547318438,0.622533447069558,0.620521287624466,0.620521287624466,0.331303202309131,0.620521287624466,0.192212936109622,0.192212936109622,0.784148549314735,0.620521287624466,-0.120950606082846,0.192212936109622
"foreign_coins",-0.267410746365916,-0.0978231976089037,0.697368421052632,0.0967785494460177,1,0.464660188642293,0.394736842105263,0.511099706727286,0.572263383519301,0.314373041714338,0.503496546095229,0.0921052631578947,0.241825416703337,0.187200587542401,0.126761150770986,0.102189889914161,0.511099706727286,0.314373041714338,0.394736842105263,0.394736842105263,0.239428850280742,0.394736842105263,0.844097150806707,0.844097150806707,0.327636540064536,0.394736842105263,0.0199680765957718,0.844097150806707
"formal_legal_code",-0.167798221542123,-0.0454545454545454,0.464660188642293,0.105809738922621,0.464660188642293,1,0.464660188642293,0.358870281282637,0.265908011739155,0.404519917477945,0.55048188256318,0.464660188642293,0.112366643743874,0.113531486648613,0.193813067904073,0.265908011739155,0.358870281282637,-0.112366643743874,0.464660188642293,0.464660188642293,0.180410359034362,0.464660188642293,0.55048188256318,0.55048188256318,0.430137442209907,0.464660188642293,0.222680885707562,0.55048188256318
"full_time_bureaucrats",-0.448762307011089,-0.0978231976089037,0.697368421052632,0.620521287624466,0.394736842105263,0.464660188642293,1,0.772328445721233,0.572263383519301,0.870571500132014,0.844097150806707,0.0921052631578947,-0.0362738125055006,0.232291178968447,0.416984512513383,0.572263383519301,0.772328445721233,0.592472270923176,0.697368421052632,1,0.487485767238268,1,0.503496546095229,0.503496546095229,0.746283230146998,1,0.0199680765957718,0.503496546095229
"history",-0.574649814794999,-0.126660099276225,0.772328445721233,0.633908547318438,0.511099706727286,0.358870281282637,0.772328445721233,1,0.740958573634948,0.887151079037295,0.651920240520265,-0.0113577712606064,-0.166993144289373,0.28921485815891,0.533446340136699,0.538077059425379,1,0.887151079037295,0.772328445721233,0.772328445721233,0.502717467686537,0.772328445721233,0.651920240520265,0.651920240520265,0.837215630702561,0.772328445721233,-0.172362563331673,0.651920240520265
"indigenous_coins",-0.48966956907282,-0.170940864689457,0.572263383519301,0.601299190287596,0.572263383519301,0.265908011739155,0.572263383519301,0.740958573634948,1,0.65734219812218,0.483045891539648,-0.132846856888409,-0.00939060283031685,0.348858337749624,0.376018177914093,0.634920634920635,0.740958573634948,0.65734219812218,0.572263383519301,0.572263383519301,0.370226327108082,0.572263383519301,0.483045891539648,0.483045891539648,0.688648631002072,0.572263383519301,-0.0542782456065775,0.483045891539648
"irrigation_systems",-0.549553665881986,-0.112366643743874,0.592472270923176,0.742855037679641,0.314373041714338,0.404519917477945,0.870571500132014,0.887151079037295,0.65734219812218,1,0.734846922834953,0.0362738125055006,-0.233333333333333,0.268815193129465,0.478902076409444,0.65734219812218,0.887151079037295,0.744444444444444,0.870571500132014,0.870571500132014,0.537165774219294,0.870571500132014,0.421856566812658,0.421856566812658,0.898452605024926,0.870571500132014,-0.082572282384477,0.421856566812658
"markets",-0.345034494349625,-0.082572282384477,0.844097150806707,0.486939438144377,0.503496546095229,0.55048188256318,0.844097150806707,0.651920240520265,0.483045891539648,0.734846922834953,1,0.16289594138375,0.204124145231932,0.197886569485123,0.351824194181343,0.483045891539648,0.651920240520265,0.421856566812658,0.844097150806707,0.844097150806707,0.383567462272411,0.844097150806707,0.616666666666667,0.616666666666667,0.579452908505726,0.844097150806707,-0.112366643743874,0.616666666666667
"mnemonic_devices",0.0206281171495137,-0.0978231976089037,0.0921052631578947,-0.165092819643207,0.0921052631578947,0.464660188642293,0.0921052631578947,-0.0113577712606064,-0.132846856888409,0.0362738125055006,0.16289594138375,1,0.241825416703337,0.18791492076899,0.319369499762918,-0.132846856888409,-0.0113577712606064,-0.241825416703337,0.0921052631578947,0.0921052631578947,-0.355907750417319,0.0921052631578947,0.16289594138375,0.16289594138375,0.0286031900056341,0.0921052631578947,0.249600957447147,0.16289594138375
"paper_currency",0.572166105656912,-0.404519917477945,0.241825416703337,-0.141247084629227,0.241825416703337,0.112366643743874,-0.0362738125055006,-0.166993144289373,-0.00939060283031685,-0.233333333333333,0.204124145231932,0.241825416703337,1,0.62824990844765,0.382945718249246,-0.00939060283031685,-0.166993144289373,-0.233333333333333,-0.0362738125055006,-0.0362738125055006,-0.354806913598722,-0.0362738125055006,0.204124145231932,0.204124145231932,-0.0740745498823742,-0.0362738125055006,-0.339463827580628,0.204124145231932
"polity_territory",0.275993319531606,-0.155523606174225,0.218351566432956,0.330808243581742,0.187200587542401,0.113531486648613,0.232291178968447,0.28921485815891,0.348858337749624,0.268815193129465,0.197886569485123,0.18791492076899,0.62824990844765,1,0.761827636025098,0.387811126851582,0.28921485815891,0.251761258885743,0.236064209494961,0.232291178968447,-0.103249683365626,0.232291178968447,0.18117665996638,0.18117665996638,0.485980132312704,0.232291178968447,-0.324067270260458,0.18117665996638
"population_of_the_largest_settlement",-0.0590575171470307,-0.30096435163997,0.409449550172776,0.557123696592927,0.126761150770986,0.193813067904073,0.416984512513383,0.533446340136699,0.376018177914093,0.478902076409444,0.351824194181343,0.319369499762918,0.382945718249246,0.761827636025098,1,0.57523441580053,0.533446340136699,0.472073250114951,0.416767611219473,0.416984512513383,0.0494139501932173,0.416984512513383,0.343587988209414,0.343587988209414,0.673835046518477,0.416984512513383,-0.241583873474291,0.343587988209414
"postal_stations",-0.502235705852374,-0.170940864689457,0.337226636716731,0.804679798767225,0.102189889914161,0.265908011739155,0.572263383519301,0.538077059425379,0.634920634920635,0.65734219812218,0.483045891539648,-0.132846856888409,-0.00939060283031685,0.387811126851582,0.57523441580053,1,0.538077059425379,0.441358333024892,0.572263383519301,0.572263383519301,0.254635301902391,0.572263383519301,0.218520760458412,0.218520760458412,0.827993955163781,0.572263383519301,0.124064561386463,0.218520760458412
"practical_literature",-0.574649814794999,-0.126660099276225,0.772328445721233,0.633908547318438,0.511099706727286,0.358870281282637,0.772328445721233,1,0.740958573634948,0.887151079037295,0.651920240520265,-0.0113577712606064,-0.166993144289373,0.28921485815891,0.533446340136699,0.538077059425379,1,0.887151079037295,0.772328445721233,0.772328445721233,0.502717467686537,0.772328445721233,0.651920240520265,0.651920240520265,0.837215630702561,0.772328445721233,-0.172362563331673,0.651920240520265
"precious_metals",-0.528799782800889,-0.112366643743874,0.592472270923176,0.622533447069558,0.314373041714338,-0.112366643743874,0.592472270923176,0.887151079037295,0.65734219812218,0.744444444444444,0.421856566812658,-0.241825416703337,-0.233333333333333,0.251761258885743,0.472073250114951,0.441358333024892,0.887151079037295,1,0.592472270923176,0.592472270923176,0.445986343909008,0.592472270923176,0.421856566812658,0.421856566812658,0.678618456986912,0.592472270923176,-0.293590337367029,0.421856566812658
"professional_priesthood",-0.455841085400585,-0.0978231976089037,0.697368421052632,0.620521287624466,0.394736842105263,0.464660188642293,0.697368421052632,0.772328445721233,0.572263383519301,0.870571500132014,0.844097150806707,0.0921052631578947,-0.0362738125055006,0.236064209494961,0.416767611219473,0.572263383519301,0.772328445721233,0.592472270923176,1,0.697368421052632,0.437874383846762,0.697368421052632,0.503496546095229,0.503496546095229,0.746283230146998,0.697368421052632,-0.209664804255604,0.503496546095229
"professional_soldiers",-0.448762307011089,-0.0978231976089037,0.697368421052632,0.620521287624466,0.394736842105263,0.464660188642293,1,0.772328445721233,0.572263383519301,0.870571500132014,0.844097150806707,0.0921052631578947,-0.0362738125055006,0.232291178968447,0.416984512513383,0.572263383519301,0.772328445721233,0.592472270923176,0.697368421052632,1,0.487485767238268,1,0.503496546095229,0.503496546095229,0.746283230146998,1,0.0199680765957718,0.503496546095229
"religious_levels",-0.161237300356668,0.0882006199723549,0.338651617063752,0.331303202309131,0.239428850280742,0.180410359034362,0.487485767238268,0.502717467686537,0.370226327108082,0.537165774219294,0.383567462272411,-0.355907750417319,-0.354806913598722,-0.103249683365626,0.0494139501932173,0.254635301902391,0.502717467686537,0.445986343909008,0.437874383846762,0.487485767238268,1,0.487485767238268,0.271895922623481,0.271895922623481,0.400697592490591,0.487485767238268,-0.0556483444969668,0.271895922623481
"roads",-0.448762307011089,-0.0978231976089037,0.697368421052632,0.620521287624466,0.394736842105263,0.464660188642293,1,0.772328445721233,0.572263383519301,0.870571500132014,0.844097150806707,0.0921052631578947,-0.0362738125055006,0.232291178968447,0.416984512513383,0.572263383519301,0.772328445721233,0.592472270923176,0.697368421052632,1,0.487485767238268,1,0.503496546095229,0.503496546095229,0.746283230146998,1,0.0199680765957718,0.503496546095229
"sacred_texts",-0.285472415800218,-0.082572282384477,0.844097150806707,0.192212936109622,0.844097150806707,0.55048188256318,0.503496546095229,0.651920240520265,0.483045891539648,0.421856566812658,0.616666666666667,0.16289594138375,0.204124145231932,0.18117665996638,0.343587988209414,0.218520760458412,0.651920240520265,0.421856566812658,0.503496546095229,0.503496546095229,0.271895922623481,0.503496546095229,1,1,0.444832535822577,0.503496546095229,-0.112366643743874,1
"script",-0.285472415800218,-0.082572282384477,0.844097150806707,0.192212936109622,0.844097150806707,0.55048188256318,0.503496546095229,0.651920240520265,0.483045891539648,0.421856566812658,0.616666666666667,0.16289594138375,0.204124145231932,0.18117665996638,0.343587988209414,0.218520760458412,0.651920240520265,0.421856566812658,0.503496546095229,0.503496546095229,0.271895922623481,0.503496546095229,1,1,0.444832535822577,0.503496546095229,-0.112366643743874,1
"settlement_hierarchy",-0.501179236558281,-0.236817243463881,0.507056550099876,0.784148549314735,0.327636540064536,0.430137442209907,0.746283230146998,0.837215630702561,0.688648631002072,0.898452605024926,0.579452908505726,0.0286031900056341,-0.0740745498823742,0.485980132312704,0.673835046518477,0.827993955163781,0.837215630702561,0.678618456986912,0.746283230146998,0.746283230146998,0.400697592490591,0.746283230146998,0.444832535822577,0.444832535822577,1,0.746283230146998,-0.0197306601625498,0.444832535822577
"specialized_government_buildings",-0.448762307011089,-0.0978231976089037,0.697368421052632,0.620521287624466,0.394736842105263,0.464660188642293,1,0.772328445721233,0.572263383519301,0.870571500132014,0.844097150806707,0.0921052631578947,-0.0362738125055006,0.232291178968447,0.416984512513383,0.572263383519301,0.772328445721233,0.592472270923176,0.697368421052632,1,0.487485767238268,1,0.503496546095229,0.503496546095229,0.746283230146998,1,0.0199680765957718,0.503496546095229
"tokens",-0.393404878702203,0.222680885707562,-0.209664804255604,-0.120950606082846,0.0199680765957718,0.222680885707562,0.0199680765957718,-0.172362563331673,-0.0542782456065775,-0.082572282384477,-0.112366643743874,0.249600957447147,-0.339463827580628,-0.324067270260458,-0.241583873474291,0.124064561386463,-0.172362563331673,-0.293590337367029,-0.209664804255604,0.0199680765957718,-0.0556483444969668,0.0199680765957718,-0.112366643743874,-0.112366643743874,-0.0197306601625498,0.0199680765957718,1,-0.112366643743874
"written_records",-0.285472415800218,-0.082572282384477,0.844097150806707,0.192212936109622,0.844097150806707,0.55048188256318,0.503496546095229,0.651920240520265,0.483045891539648,0.421856566812658,0.616666666666667,0.16289594138375,0.204124145231932,0.18117665996638,0.343587988209414,0.218520760458412,0.651920240520265,0.421856566812658,0.503496546095229,0.503496546095229,0.271895922623481,0.503496546095229,1,1,0.444832535822577,0.503496546095229,-0.112366643743874,1
